valeur, temps
462, 12.000000
463, 11.000000
464, 11.000000
465, 12.000000
466, 12.000000
467, 11.000000
468, 11.000000
469, 11.000000
470, 11.000000
471, 13.000000
472, 12.000000
473, 11.000000
474, 12.000000
475, 11.000000
476, 11.000000
477, 11.000000
478, 12.000000
479, 11.000000
480, 11.000000
481, 11.000000
482, 12.000000
483, 12.000000
484, 12.000000
485, 11.000000
486, 12.000000
487, 13.000000
488, 11.000000
489, 11.000000
490, 12.000000
491, 11.000000
492, 11.000000
493, 12.000000
494, 13.000000
495, 12.000000
496, 12.000000
497, 12.000000
498, 13.000000
499, 11.000000
500, 12.000000
501, 12.000000
502, 13.000000
503, 12.000000
504, 13.000000
505, 13.000000
506, 12.000000
507, 12.000000
508, 12.000000
509, 12.000000
510, 13.000000
511, 12.000000
512, 12.000000
513, 13.000000
514, 12.000000
515, 12.000000
516, 12.000000
517, 13.000000
518, 12.000000
519, 14.000000
520, 13.000000
521, 12.000000
522, 13.000000
523, 13.000000
524, 13.000000
525, 13.000000
526, 13.000000
527, 25.000000
528, 13.000000
529, 12.000000
530, 14.000000
531, 16.000000
532, 13.000000
533, 13.000000
534, 15.000000
535, 16.000000
536, 13.000000
537, 13.000000
